id,key,n_top,a_method,a_node,a_cut,a_loess_from,b_method,b_node,b_cut,b_loess_from,kept,changed,changed%,Jaccard,Spearman,Kendall,RBO
4f6b4128,VST(v)-NR,2000,vst,CD4 TCM,,,vst,root,,,667,1333,66.64999999999999,0.2001200120012001,0.4230653741305571,0.3158076381787169,0.1681127793173907
987fbb82,VST(v_0)-NR,2000,vst,CD4 TCM,,root,vst,root,,,638,1362,68.10000000000001,0.189767995240928,0.4297173822609193,0.3293854655472851,0.1743085693211695
92282d3a,F-NR,2000,f_stat,CD4 TEM,children,,f_stat,root,leaves,,637,1363,68.15,0.1894142134998513,0.4774444464753163,0.3377220348376191,0.0910479232195473
613dd89f,KW-NR,2000,kw,CD4 TEM,children,,kw,root,leaves,,626,1374,68.7,0.1855364552459988,0.4917972243481357,0.3487687087505846,0.1143752932306469
649f304d,VST(v)-NR,2000,vst,CD4 TEM,,,vst,root,,,644,1356,67.80000000000001,0.1918951132300357,0.259843887736245,0.1904896894456264,0.1873834743602002
0c7f3569,VST(v_0)-NR,2000,vst,CD4 TEM,,root,vst,root,,,589,1411,70.55,0.1726766344180592,0.2398393436858202,0.1829750556711508,0.216212336432538
cf998902,F-NR,2000,f_stat,CD8 Naive,children,,f_stat,root,leaves,,581,1419,70.95,0.16993272886809,0.5119772154210459,0.3638556512332213,0.1273982645420777
134aa5ca,KW-NR,2000,kw,CD8 Naive,children,,kw,root,leaves,,502,1498,74.9,0.1435105774728416,0.510390725874929,0.3620402673230551,0.0665815035182316
4c842714,VST(v)-NR,2000,vst,CD8 Naive,,,vst,root,,,593,1407,70.35,0.174053419430584,0.3395943083408909,0.2517948151649389,0.0904755296547149
6eda0e29,VST(v_0)-NR,2000,vst,CD8 Naive,,root,vst,root,,,552,1448,72.39999999999999,0.1600928074245939,0.3613756890504106,0.2772293051862271,0.1014591026415254
272fe720,F-NR,2000,f_stat,CD8 TCM,children,,f_stat,root,leaves,,628,1372,68.60000000000001,0.1862396204033214,0.4172617132514331,0.2921479188866107,0.0797617705399885
e8a35028,KW-NR,2000,kw,CD8 TCM,children,,kw,root,leaves,,623,1377,68.85,0.1844832691738229,0.4133586422154792,0.2892689300914103,0.0388657528946521
6393fa39,VST(v)-NR,2000,vst,CD8 TCM,,,vst,root,,,638,1362,68.10000000000001,0.189767995240928,0.2242361855714057,0.1647284650508673,0.0698240435036666
b67d1ba3,VST(v_0)-NR,2000,vst,CD8 TCM,,root,vst,root,,,570,1430,71.5,0.1661807580174927,0.2273681935455955,0.1758084339697008,0.0996388609571135
